row_id,ticket_id,category,datetime,latitude,longitude
row-frv3.5bkt~4kkj,1530053,Assault/Battery/Intimidation,2025-01-01T00:00:00.000,40.2822467596822,-88.1652375035491
row-fu7d~my4j.nxat,1572312,Fraud,2025-01-01T00:00:00.000,40.1286839517454,-88.243834486287
row-g2jy_gv3r-5ui3,1547353,Investigation,2025-01-01T00:00:00.000,40.1341687619549,-88.2335966231535
row-th6i-qix6-9543,1554333,Investigation,2025-01-01T00:00:00.000,40.1278958084816,-88.2719138957132
row-u5z2_59br-6pnn,1541161,Theft,2025-01-01T00:00:00.000,40.1131037017465,-88.236431255013
row-6583~ep77~336x,1548376,Theft,2025-01-01T00:00:00.000,40.3102656035854,-88.1380082520667
row-7y35_nnx4_s66w,1605346,Theft,2025-01-01T00:00:00.000,40.1010160115743,-88.2867637431205
row-aku6~mpgj~utfg,1548251,Investigation,2025-01-01T00:01:00.000,39.8869163696547,-88.0650290516017
row-3227-fw4w~wh43,1525846,Theft,2025-01-01T01:20:00.000,40.1103819322648,-88.2407524050502
row-t2i8~xiay_4k6d,1525857,Destruction/Damage/Vandalism of Property,2025-01-01T01:30:00.000,40.1154593753129,-88.2786162309199
row-j42p.uaw3-pbvz,1525990,Accident,2025-01-01T01:45:00.000,40.1090275972013,-88.2329009521267
row-js7d_xq2k_96ta,1525854,Assault/Battery/Intimidation,2025-01-01T01:49:00.000,40.1141735566739,-88.2835371365227
row-br8e_qwjx.2kbs,1525864,Assault/Battery/Intimidation,2025-01-01T03:03:00.000,40.1381764760769,-88.2759271945551
row-ucjd.vh9h~m8yi,1525849,Driving under the Influence,2025-01-01T03:22:00.000,40.1102834883029,-88.2303872422834
row-ue2e.59ug-sm9i,1525895,Motor Vehicle Theft,2025-01-01T04:29:00.000,40.1331347628537,-88.2767879992065
row-v6z8~5e4a-amt9,1525860,Assault/Battery/Intimidation,2025-01-01T07:30:00.000,40.1310191565116,-88.249581482129
row-dsh7_vxcz_amah,1585520,Fraud,2025-01-01T08:00:00.000,40.1051301762697,-88.212427711178
row-cssk-gkez-52ya,1563771,Investigation,2025-01-01T08:00:00.000,40.1006642730071,-88.2914663724633
row-imtt_a3eg~udda,1525867,Disorderly Conduct,2025-01-01T08:19:00.000,40.1351605623295,-88.1882524051227
row-me8t-aj6h_dkwa,1526012,Drugs/Narcotics,2025-01-01T08:47:00.000,40.1144262862587,-88.2873192289989
row-9kwx.jv9r.9mqm,1525881,Assault/Battery/Intimidation,2025-01-01T10:00:00.000,40.0978267600156,-88.1862891153882
row-7kdw-h2yk~ie9u,1596871,Destruction/Damage/Vandalism of Property,2025-01-01T10:00:00.000,40.1888756293236,-88.2193284257625
row-idux-ufr8-rkjv,1526022,Lost & Found,2025-01-01T10:00:00.000,40.0941552911476,-88.3110093033594
row-pfub.vejn_tt6j,1528184,Burglary/Breaking & Entering,2025-01-01T10:48:00.000,40.1105397222991,-88.2323441021373
row-z9vq.ktrz_78xi,1526000,Theft,2025-01-01T11:00:00.000,40.1374284207333,-88.2667458167133
row-x7eg~a83e~9wbb,1542448,Assault/Battery/Intimidation,2025-01-01T12:00:00.000,40.1330978347935,-88.2347672782038
row-wftu-qqc3~5gtm,1561816,Burglary/Breaking & Entering,2025-01-01T12:00:00.000,40.1244834874472,-88.1968448400431
row-45nd-2n54-kekw,1553070,Disorderly Conduct,2025-01-01T12:00:00.000,40.1379838801487,-88.2383414904722
row-criv~uaxx~nr75,1645063,Fraud,2025-01-01T12:00:00.000,40.0993185114433,-88.2107481865382
row-yi9x-5gda-r93w,1554364,Lost & Found,2025-01-01T12:00:00.000,40.1042914195598,-88.2777602488897
row-8q9u.vv5n_httk,1537797,Theft,2025-01-01T12:00:00.000,40.0811539864253,-88.3052983048307
row-bwim.ae37.7akh,1526455,Destruction/Damage/Vandalism of Property,2025-01-01T13:09:00.000,40.105867695912,-88.2823535819828
